country,company,company hq,method,specific location,source,notes
Netherlands,"Samasource Impact Sourcing, Inc.",,Locations listed on company website,"Kalvermarkt 53, 2511 CB
The Hague, The Netherlands",https://www.sama.com/our-team,
Phillipines,"TaskUs, Inc.",,SEC 10-K Exhibit 32,LizardBear Tasking Inc. (Quezon City),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Phillipines,"TaskUs, Inc.",,SEC 10-K Exhibit 33,TaskUs Outsourcing Philippines Inc. (Pasig),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Phillipines,Innodata Inc.,,SEC 10-K Exhibit 34,"Innodata Knowledge Services, Inc. (Mandaue City, Cebu)",https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Phillipines,Innodata Inc.,,SEC 10-K Exhibit 35,ESS Manufacturing Co. Inc. (Makati City),https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Serbia,"TaskUs, Inc.",,SEC 10-K Exhibit 36,TaskUs SB d.o.o. Beograd (Belgrade),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Serbia,Centific,,Locations listed on company website,Belgrade,https://www.centific.com/company/locations,
Singapore,Centific,,Locations listed on company website,Singapore,https://www.centific.com/company/locations,
Spain,Centific,,Locations listed on company website,Barcelona,https://www.centific.com/company/locations,
Taiwan,"TaskUs, Inc.",,SEC 10-K Exhibit 37,"TaskUs Holdings, Inc., Taiwan Branch (Taipei)",https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Taiwan,Centific,,Locations listed on company website,Taiwan,https://www.centific.com/company/locations,
Taiwan,CloudFactory,"Durham, USA",,.,https://www.cloudfactory.com/careers,
Uganda,"Samasource Impact Sourcing, Inc.",,Locations listed on company website,"Airfield RoadPlot 3 B Bar DegeDivision Gulu MunicipalityGulu District, Uganda",https://www.sama.com/our-team,
Uganda,"Samasource Impact Sourcing, Inc.",,Locations listed on company website,"The Wildlife Tower, Ground Floor31 Kanjokya StreetKampala, Uganda",https://www.sama.com/our-team,
Ukraine,Keymakr Data Labeling,"NYC, USA; Israel",via LinkedIn employee location,.,"https://www.linkedin.com/company/keymakr/people/
https://dataannotationcompanies.com/company/keymakr
https://segments.ai/data-labeling-companies/keymakr/",
United Kingdom,"TaskUs, Inc.",,,TaskUs Limited (London),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
United Kingdom,CloudFactory,"Durham, USA",,Reading,https://craft.co/cloudfactory/locations,
USA,DesiCrew,,Locations listed on company website,"Fremont, USA",https://desicrew.in/about-us/company-profile/,
USA,iMerit,Silicon Valley,Locations listed on company website,"New Orleans, LA",https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
